,Family,Genus,Species,Flight_Call,Season,Habitat,Stratum,collisions,collisions_days
0,Passerellidae,zonotrichia,albicollis,yes,autumn,forest,lower,7149,1188
1,Passerellidae,junco,hyemalis,yes,autumn,edge,lower,4598,1112
2,Passerellidae,melospiza,melodia,yes,spring,edge,lower,4403,744
3,Passerellidae,zonotrichia,albicollis,yes,spring,forest,lower,2984,664
4,Turdidae,catharus,guttatus,yes,autumn,forest,lower,2734,753
5,Parulidae,seiurus,aurocapilla,yes,autumn,forest,lower,2722,810
6,Passerellidae,melospiza,georgiana,yes,autumn,open,lower,2497,826
7,Passerellidae,melospiza,georgiana,yes,spring,open,lower,2413,724
8,Parulidae,oreothlypis,peregrina,yes,autumn,edge,upper,2153,787
9,Certhiidae,certhia,americana,yes,autumn,forest,upper,2128,544
10,Turdidae,catharus,ustulatus,yes,autumn,forest,lower,1939,716
11,Parulidae,seiurus,aurocapilla,yes,spring,forest,lower,1858,541
12,Passerellidae,junco,hyemalis,yes,spring,edge,lower,1705,574
13,Passerellidae,passerella,iliaca,yes,autumn,edge,lower,1564,612
14,Passerellidae,melospiza,lincolnii,yes,autumn,edge,lower,1400,652
15,Parulidae,oreothlypis,ruficapilla,yes,autumn,forest,upper,1346,589
16,Turdidae,catharus,guttatus,yes,spring,forest,lower,995,458
17,Parulidae,setophaga,magnolia,yes,autumn,forest,upper,914,422
18,Passerellidae,spizelloides,arborea,yes,autumn,edge,lower,902,337
19,Passerellidae,passerella,iliaca,yes,spring,edge,lower,879,322
20,Regulidae,regulus,satrapa,yes,autumn,forest,upper,858,355
21,Parulidae,geothlypis,trichas,yes,spring,open,lower,814,388
22,Parulidae,setophaga,coronata,yes,autumn,forest,upper,807,343
23,Parulidae,setophaga,striata,yes,autumn,forest,upper,756,435
24,Parulidae,geothlypis,trichas,yes,autumn,open,lower,741,445
25,Passerellidae,melospiza,melodia,yes,autumn,edge,lower,721,412
26,Passerellidae,zonotrichia,leucophrys,yes,autumn,edge,lower,721,367
27,Parulidae,setophaga,ruticilla,yes,autumn,edge,upper,694,335
28,Cardinalidae,passerina,cyanea,yes,spring,edge,upper,632,320
29,Passerellidae,melospiza,lincolnii,yes,spring,edge,lower,629,311
30,Turdidae,catharus,minimus,yes,autumn,forest,lower,589,336
31,Parulidae,setophaga,palmarum,yes,autumn,edge,lower,580,338
32,Parulidae,parkesia,noveboracensis,yes,autumn,forest,lower,557,376
33,Certhiidae,certhia,americana,yes,spring,forest,upper,548,271
34,Turdidae,catharus,fuscescens,yes,spring,forest,lower,489,218
35,Mimidae,dumetella,carolinensis,no,spring,edge,lower,437,265
36,Troglodytidae,troglodytes,hiemalis,no,autumn,forest,lower,419,261
37,Turdidae,catharus,ustulatus,yes,spring,forest,lower,392,235
38,Parulidae,mniotilta,varia,yes,autumn,forest,upper,383,206
39,Turdidae,hylocichla,mustelina,yes,spring,forest,lower,375,236
40,Passerellidae,zonotrichia,leucophrys,yes,spring,edge,lower,369,176
41,Parulidae,oreothlypis,peregrina,yes,spring,edge,upper,362,184
42,Passerellidae,spizelloides,arborea,yes,spring,edge,lower,360,165
43,Parulidae,parkesia,noveboracensis,yes,spring,forest,lower,359,222
44,Parulidae,oreothlypis,ruficapilla,yes,spring,forest,upper,344,206
45,Parulidae,oporornis,agilis,yes,autumn,forest,lower,336,247
46,Parulidae,setophaga,magnolia,yes,spring,forest,upper,310,152
47,Regulidae,regulus,calendula,no,autumn,forest,upper,278,197
48,Parulidae,geothlypis,philadelphia,yes,autumn,edge,lower,277,226
49,Passerellidae,spizella,pusilla,yes,spring,open,lower,267,191
50,Sittidae,sitta,canadensis,yes,autumn,forest,upper,249,162
51,Parulidae,setophaga,castanea,yes,autumn,forest,upper,244,185
52,Cardinalidae,pheucticus,ludovicianus,yes,spring,forest,upper,240,160
53,Turdidae,catharus,fuscescens,yes,autumn,forest,lower,238,170
54,Parulidae,mniotilta,varia,yes,spring,forest,upper,237,146
55,Turdidae,catharus,minimus,yes,spring,forest,lower,233,138
56,Parulidae,oreothlypis,celata,yes,autumn,edge,lower,209,163
57,Parulidae,setophaga,ruticilla,yes,spring,edge,upper,174,108
58,Regulidae,regulus,satrapa,yes,spring,forest,upper,171,107
59,Parulidae,cardellina,canadensis,yes,spring,forest,lower,168,98
60,Parulidae,setophaga,pensylvanica,yes,autumn,edge,upper,167,127
61,Parulidae,setophaga,virens,yes,autumn,forest,upper,166,135
62,Parulidae,setophaga,caerulescens,yes,autumn,forest,upper,164,139
63,Mimidae,dumetella,carolinensis,no,autumn,edge,lower,162,130
64,Cardinalidae,pheucticus,ludovicianus,yes,autumn,forest,upper,157,123
65,Parulidae,geothlypis,philadelphia,yes,spring,edge,lower,153,110
66,Passerellidae,passerculus,sandwichensis,yes,spring,open,lower,146,112
67,Parulidae,setophaga,tigrina,yes,autumn,forest,upper,138,118
68,Regulidae,regulus,calendula,no,spring,forest,upper,138,113
69,Parulidae,setophaga,pensylvanica,yes,spring,edge,upper,136,82
70,Parulidae,cardellina,pusilla,yes,autumn,edge,lower,134,109
71,Passerellidae,passerculus,sandwichensis,yes,autumn,open,lower,128,98
72,Turdidae,hylocichla,mustelina,yes,autumn,forest,lower,125,98
73,Tyrannidae,empidonax,traillii,no,spring,open,upper,120,78
74,Parulidae,setophaga,fusca,yes,autumn,forest,upper,117,99
75,Parulidae,setophaga,palmarum,yes,spring,edge,lower,114,86
76,Mimidae,toxostoma,rufum,no,spring,edge,lower,105,100
77,Cardinalidae,piranga,olivacea,yes,spring,forest,upper,103,82
78,Cardinalidae,passerina,cyanea,yes,autumn,edge,upper,93,78
79,Passerellidae,ammodramus,savannarum,yes,spring,open,lower,93,82
80,Parulidae,setophaga,fusca,yes,spring,forest,upper,84,65
81,Vireonidae,vireo,olivaceus,no,autumn,forest,upper,81,73
82,Troglodytidae,troglodytes,aedon,no,spring,edge,lower,81,78
83,Parulidae,setophaga,coronata,yes,spring,forest,upper,80,64
84,Parulidae,cardellina,canadensis,yes,autumn,forest,lower,73,67
85,Icteridae,icterus,galbula,yes,spring,edge,upper,71,62
86,Passerellidae,pipilo,erythrophthalmus,no,spring,edge,lower,64,60
87,Tyrannidae,empidonax,minimus,no,spring,edge,upper,64,54
88,Parulidae,setophaga,petechia,yes,spring,edge,upper,62,52
89,Mimidae,toxostoma,rufum,no,autumn,edge,lower,61,58
90,Troglodytidae,cistothorus,palustris,no,autumn,open,lower,58,55
91,Passerellidae,spizella,pusilla,yes,autumn,open,lower,58,54
92,Parulidae,setophaga,virens,yes,spring,forest,upper,57,50
93,Tyrannidae,empidonax,traillii,no,autumn,open,upper,57,51
94,Troglodytidae,troglodytes,hiemalis,no,spring,forest,lower,55,49
95,Vireonidae,vireo,olivaceus,no,spring,forest,upper,52,50
96,Parulidae,cardellina,pusilla,yes,spring,edge,lower,51,43
97,Tyrannidae,empidonax,flaviventris,no,spring,forest,upper,48,38
98,Passerellidae,spizella,passerina,yes,spring,edge,lower,44,42
99,Parulidae,setophaga,tigrina,yes,spring,forest,upper,44,40
100,Parulidae,setophaga,castanea,yes,spring,forest,upper,43,35
101,Tyrannidae,contopus,virens,no,spring,forest,upper,39,28
102,Troglodytidae,cistothorus,platensis,no,autumn,open,lower,38,37
103,Passerellidae,ammospiza,nelsoni,yes,autumn,open,lower,38,35
104,Parulidae,setophaga,pinus,yes,autumn,forest,upper,37,35
105,Parulidae,setophaga,americana,yes,autumn,forest,upper,36,34
106,Troglodytidae,cistothorus,palustris,no,spring,open,lower,33,28
107,Tyrannidae,empidonax,minimus,no,autumn,edge,upper,32,31
108,Parulidae,setophaga,striata,yes,spring,forest,upper,31,25
109,Tyrannidae,contopus,virens,no,autumn,forest,upper,31,30
110,Parulidae,oporornis,agilis,yes,spring,forest,lower,29,26
111,Passerellidae,spizella,pallida,yes,autumn,open,lower,28,28
112,Tyrannidae,myiarchus,crinitus,no,spring,edge,upper,27,25
113,Parulidae,vermivora,chrysoptera,yes,autumn,edge,upper,27,25
114,Parulidae,vermivora,chrysoptera,yes,spring,edge,upper,26,25
115,Cardinalidae,piranga,olivacea,yes,autumn,forest,upper,24,24
116,Passerellidae,spizella,passerina,yes,autumn,edge,lower,24,23
117,Parulidae,setophaga,americana,yes,spring,forest,upper,23,22
118,Troglodytidae,troglodytes,aedon,no,autumn,edge,lower,23,23
119,Passerellidae,spizella,pallida,yes,spring,open,lower,22,22
120,Troglodytidae,cistothorus,platensis,no,spring,open,lower,22,22
121,Tyrannidae,empidonax,flaviventris,no,autumn,forest,upper,20,20
122,Parulidae,setophaga,caerulescens,yes,spring,forest,upper,19,19
123,Parulidae,oreothlypis,celata,yes,spring,edge,lower,18,18
124,Passerellidae,pipilo,erythrophthalmus,no,autumn,edge,lower,18,18
125,Passerellidae,ammospiza,nelsoni,yes,spring,open,lower,17,16
126,Parulidae,geothlypis,formosa,yes,spring,forest,lower,16,16
127,Passerellidae,ammospiza,leconteii,yes,autumn,open,lower,16,16
128,Parulidae,parkesia,motacilla,yes,spring,forest,lower,15,15
